Arrest-Invest Net Flow,Charge-Arrest Net Flow,Sentence-Charged Net Flow,Entry-Sentence Net Flow
-6034,-28933,-1354,-12958
-5472,-29050,-3665,-13475
-27053,-4233,-16548,-11645
-15881,-46856,-8691,-27614
3600,-115110,-14982,-17609
-71,-109747,-16599,-10140
-1676,-66072,-9063,-6665
-534,-75184,-8534,-5413
-3835,-74736,-7739,-5955
4760,-85214,-4215,-3343
-2103,-98321,-9808,-3858
-18348,-79459,-8616,-6932
-10186,-74528,-16820,-9106
-8427,-79568,-15975,-11974
-4355,-86473,-16141,-7036
-3014,-83721,-15357,-4815
15957,-65625,-15877,-932
13010,-59295,-15065,6662
2610,-48622,-19116,5979
-460,-48110,-22577,4783
-3200,-34793,-21827,2417
-261,-36347,-23361,3511
-2922,-36282,-22717,6757
-7970,-32338,-23405,5072
-8654,-29309,-24474,6881
-11573,-25947,-27418,6682
