Year,Persons in investigations initiated,%Persons in investigations initiated,Persons arrested and booked,%Persons arrested and booked,Persons in investigations concluded,%Persons in investigations concluded,Persons charged,%Persons charged,Persons in cases closed,%Persons in cases closed,Persons sentence,%Persons sentenced,Persons entering federal prison,%Persons entering federal prison,Persons in federal prison at year-end,%Persons in federal prison at year-end,Persons exiting federal prison,%Persons exiting federal prison
2023,100445,2.6%,94411,2.5%,103088,2.6%,65478,3.0%,71866,0.034,64124,3.5%,51166,3.00%,107297,2.5%,48413,2.9%
2022,102329,2.6%,96857,2.6%,104640,2.7%,67807,3.1%,71542,0.033,64142,3.5%,50667,3.00%,117000,2.8%,52220,3.1%
2021,105121,2.7%,78068,2.1%,105769,2.7%,73835,3.3%,63380,0.03,57287,3.2%,45642,2.70%,129329,3.1%,55876,3.3%
2020,135993,3.5%,120112,3.2%,129348,3.3%,73256,3.3%,71126,0.033,64565,3.6%,36951,2.20%,136395,3.2%,59321,3.5%
2019,203030,5.3%,206630,5.5%,205329,5.2%,91520,4.1%,84782,0.04,76538,4.2%,58929,3.50%,143031,3.4%,60832,3.6%
2018,195842,5.1%,195771,5.2%,195757,5.0%,86024,3.9%,78996,0.037,69425,3.8%,59285,3.50%,152459,3.6%,63732,3.8%
2017,143684,3.7%,142008,3.8%,143839,3.7%,75936,3.4%,74517,0.035,66873,3.7%,60208,3.50%,155651,3.7%,66235,3.9%
2016,151994,3.9%,151460,4.0%,155615,4.0%,76276,3.5%,76639,0.036,67742,3.7%,62329,3.60%,163169,3.9%,69558,4.1%
2015,157313,4.1%,153478,4.1%,163005,4.2%,78742,3.6%,80166,0.037,71003,3.9%,65048,3.80%,169320,4.0%,69557,4.1%
2014,160505,4.2%,165265,4.4%,170161,4.3%,80051,3.6%,85781,0.04,75836,4.2%,72493,4.20%,176346,4.2%,65626,3.9%
2013,190267,4.9%,188164,5.0%,196969,5.0%,89843,4.1%,90133,0.042,80035,4.4%,76177,4.50%,178530,4.2%,70327,4.2%
2012,190596,4.9%,172248,4.6%,196109,5.0%,92789,4.2%,96260,0.045,84173,4.6%,77241,4.50%,185273,4.4%,68767,4.1%
2011,187735,4.9%,177549,4.7%,193534,4.9%,103021,4.7%,101500,0.047,86201,4.7%,77095,4.50%,186307,4.4%,72116,4.3%
2010,187916,4.9%,179489,4.8%,193021,4.9%,99921,4.5%,98489,0.046,83946,4.6%,71972,4.20%,196447,4.7%,71582,4.2%
2009,188341,4.9%,183986,4.9%,193234,4.9%,97513,4.4%,95891,0.045,81372,4.5%,74336,4.40%,197672,4.7%,78325,4.6%
2008,178570,4.6%,175556,4.7%,182723,4.7%,91835,4.2%,91728,0.043,76478,4.2%,71663,4.20%,199244,4.7%,76335,4.5%
2007,138410,3.6%,154367,4.1%,144049,3.7%,88742,4.0%,88509,0.041,72865,4.0%,71933,4.20%,195385,4.6%,77526,4.6%
2006,133935,3.5%,146945,3.9%,141130,3.6%,87650,4.0%,88094,0.041,72585,4.0%,79247,4.60%,188213,4.5%,73614,4.4%
2005,137590,3.6%,140200,3.7%,143640,3.7%,91578,4.1%,86680,0.04,72462,4.0%,78441,4.60%,174458,4.1%,78156,4.6%
2004,141215,3.7%,140755,3.7%,148240,3.8%,92645,4.2%,83391,0.039,70068,3.9%,74851,4.40%,168598,4.0%,67759,4.0%
2003,130078,3.4%,126878,3.4%,128518,3.3%,92085,4.2%,85106,0.04,70258,3.9%,72675,4.30%,164218,3.9%,64490,3.8%
2002,124335,3.2%,124074,3.3%,124081,3.2%,87727,4.0%,80424,0.038,64366,3.5%,67877,4.00%,159692,3.8%,65689,3.9%
2001,121818,3.2%,118896,3.2%,118978,3.0%,82614,3.7%,77145,0.036,59897,3.3%,66654,3.90%,140449,3.3%,59126,3.5%
2000,123559,3.2%,115589,3.1%,117450,3.0%,83251,3.8%,76952,0.036,59846,3.3%,64918,3.80%,141562,3.4%,47286,2.8%
1999,117994,3.1%,109340,2.9%,114283,2.9%,80031,3.6%,75723,0.035,55557,3.1%,62438,3.70%,144038,3.4%,49515,2.9%
1998,115692,3.0%,104119,2.8%,106022,2.7%,78172,3.5%,69769,0.033,50754,2.8%,57436,3.40%,143547,3.4%,54750,3.2%
